file,raw_rows,expanded_points,fs_est_hz,duration_s
Fallingfromchair_p1_3_35sek_20260204_154248.csv,300,1376,50.0,28.177595000000025
Fallingfromchair_p4_1_35sek_20260204_152131.csv,400,1854,50.0,38.13956900000003
Fallingfromchair_p4_2_35sek_20260204_152255.csv,300,1484,50.0,29.962596000000026
Fallingfromchair_p4_3_35sek_20260204_152408.csv,300,1364,50.0,27.833536000000024
SittingToStanding_Xiaoye_1_35sek_20260202_163705.csv,300,1220,50.0,29.961317999999995
SittingToStanding_Xiaoye_2_35sek_20260202_163924.csv,400,1938,50.0,39.90154799999936
SittingToStanding_Xiaoye_3_35sek_20260202_164139.csv,300,710,50.0,30.717610999999984
Sittingtostanding_Ahmed_1_20sek_20260202_102903.csv,200,989,50.0,19.96235399999999
Sittingtostanding_Ahmed_2_20sek_20260202_102953.csv,100,499,50.0,9.96
Sittingtostanding_Ahmed_3_20sek_20260202_103024.csv,100,492,50.0,9.896538999999995
Sittingtostanding_Chrysi_1_20sek_20260202_103906.csv,200,907,50.0,18.508226000000015
Sittingtostanding_Chrysi_2_20sek_20260202_103939.csv,200,906,50.0,18.477834000000016
Sittingtostanding_Chrysi_3_20sek_20260202_104033.csv,100,479,50.0,9.965115000000008
Sittingtostanding_Xiaoye_1_20sek_20260202_095705.csv,200,994,50.0,19.962763000000002
Sittingtostanding_Xiaoye_2_20sek_20260202_095843.csv,100,494,50.0,9.962199000000002
Sittingtostanding_Xiaoye_3_20sek_20260202_100018.csv,100,340,50.0,7.9292470000000055
Sittingtostanding_p1_1_35sek_20260204_153540.csv,300,1474,50.0,29.963879000000027
Sittingtostanding_p1_2_35sek_20260204_153654.csv,300,1487,50.0,29.961961000000027
Sittingtostanding_p1_3_35sek_20260204_153830.csv,300,1371,50.0,28.187923000000023
Sittingtostanding_p2_1_35sek_20260204_155433.csv,400,1875,50.0,37.86226700000003
Sittingtostanding_p2_2_35sek_20260204_155524.csv,100,494,50.0,9.962301000000002
StandingToSitting_Xiaoye_1_35sek_20260202_163124.csv,300,1411,50.0,28.488860000000024
StandingToSitting_Xiaoye_2_35sek_20260202_163245.csv,300,1267,50.0,29.95532999999958
StandingToSitting_Xiaoye_3_35sek_20260202_163524.csv,400,1558,50.0,39.917089000000004
Standing_Ahmed_1_20sek_20260202_102034.csv,200,808,50.0,19.920820999999957
Standing_Ahmed_2_20sek_20260202_102535.csv,100,474,50.0,9.931061000000009
Standing_Ahmed_3_20sek_20260202_102602.csv,200,562,50.1,18.936565999999864
Standing_Chrysi_1_20sek_20260202_103532.csv,100,477,50.0,9.909786000000008
Standing_Chrysi_2_20sek_20260202_103607.csv,200,902,50.0,18.395381000000015
Standing_Chrysi_3_20sek_20260202_103636.csv,200,910,50.0,18.562967000000015
Standing_Edith_1_35sek_20260202_105305.csv,300,1347,50.0,28.090306000000023
Standing_Edith_2_35sek_20260202_112321.csv,300,1399,50.0,29.247234000000024
Standing_Edith_3_35sek_20260202_112408.csv,300,1380,50.0,27.971264000000023
Standing_Xiaoye_1_1min_20260129_105129.csv,500,2300,50.0,49.94731100000237
Standing_Xiaoye_1_20sek_20260202_095036.csv,100,377,50.0,9.964630000000005
Standing_Xiaoye_1_2min_20260129_105252.csv,1200,5832,50.0,119.96260599998911
Standing_Xiaoye_1_35sek_20260202_162659.csv,300,1430,50.0,29.960436000000023
Standing_Xiaoye_2_1min_20260129_110010.csv,700,3489,50.0,69.96182699999997
Standing_Xiaoye_2_20sek_20260202_095120.csv,100,390,50.0,9.961875999999886
Standing_Xiaoye_2_2min_20260129_105714.csv,1500,6384,50.0,149.96391800000146
Standing_Xiaoye_2_35sek_20260202_162827.csv,300,1499,50.0,29.96
Standing_Xiaoye_3_20sek_20260202_095326.csv,200,787,50.0,18.024947999999796
Standing_Xiaoye_3_35sek_20260202_162956.csv,300,1494,50.0,29.928925000000007
Standing_p1_1_35sek_20260204_152857.csv,300,1380,50.0,27.961482000000025
Standing_p1_2_35sek_20260204_152944.csv,400,1887,50.0,38.089453000000034
Standing_p1_3_35sek_20260204_153104.csv,300,1359,50.0,27.750612000000025
Standing_p2_1_35sek_20260204_154843.csv,300,1489,50.0,29.962317999999986
Standing_p2_2_35sek_20260204_154943.csv,400,1880,50.0,37.956122000000036
Standing_p2_3_35sek_20260204_155033.csv,400,1891,50.0,38.17156700000003
Standingtositting_Ahmed_1_20sek_20260202_102654.csv,100,467,50.0,9.96479899999991
Standingtositting_Ahmed_2_20sek_20260202_102748.csv,200,886,50.0,18.266488000000017
Standingtositting_Ahmed_3_20sek_20260202_102821.csv,100,489,50.0,9.963784999999994
Standingtositting_Chrysi_1_20sek_20260202_103730.csv,100,385,50.0,8.172990000000006
Standingtositting_Chrysi_2_20sek_20260202_103758.csv,100,499,50.0,9.96
Standingtositting_Chrysi_3_20sek_20260202_103826.csv,200,870,50.0,17.761312000000014
Standingtositting_Xiaoye_1_20sek_20260202_095501.csv,100,484,50.0,9.962486000000009
Standingtositting_Xiaoye_2_20sek_20260202_095540.csv,100,489,50.0,9.960809999999995
Standingtositting_Xiaoye_3_20sek_20260202_095613.csv,100,432,50.0,9.082660000000008
Standingtositting_p1_1_35sek_20260204_153210.csv,300,1385,50.0,28.149056000000023
Standingtositting_p1_2_35sek_20260204_153257.csv,300,1489,50.0,29.963108999999985
Standingtositting_p1_3_35sek_20260204_153407.csv,300,1489,50.0,29.963187999999985
Standingtositting_p2_1_35sek_20260204_155152.csv,400,1864,50.0,37.83527000000003
Standingtositting_p2_2_35sek_20260204_155241.csv,400,1989,50.0,39.96379099999998
Standingtositting_p2_3_35sek_20260204_155335.csv,300,1489,50.0,29.963086999999984
Walking_Ahmed_1_20sek_20260202_101039.csv,200,523,50.0,19.956085999999978
Walking_Ahmed_2_20sek_20260202_102356.csv,200,724,50.0,19.933001
Walking_Ahmed_3_20sek_20260202_102449.csv,200,787,50.0,19.96310999999985
Walking_Chrysi_1_20sek_20260202_103211.csv,100,464,50.0,9.966399000000008
Walking_Chrysi_2_20sek_20260202_103257.csv,100,456,50.0,9.943326000000006
Walking_Chrysi_3_20sek_20260202_103326.csv,200,921,50.0,18.685964000000016
Walking_Edith_1_35sek_20260202_105555.csv,300,1226,50.0,29.9614209999998
Walking_Edith_2_35sek_20260202_105841.csv,400,1889,50.0,39.96262300000096
Walking_Edith_3_35sek_20260202_105944.csv,400,1742,50.0,39.912487000000105
Walking_Falling_backwards_P1_1_20260213_104708.csv,200,963,50.0,19.923572000000018
Walking_Falling_backwards_P1_2_20260213_104829.csv,200,860,50.0,17.860043000000015
Walking_Falling_backwards_P1_3_20260213_104943.csv,200,974,50.0,19.962558000000016
Walking_Falling_backwards_P2_1_20260213_113154.csv,200,855,50.0,17.85731799999992
Walking_Falling_backwards_P2_2_20260213_113303.csv,200,976,50.0,19.964374000000017
Walking_Falling_backwards_P2_3_20260213_113349.csv,200,979,50.0,19.96304800000002
Walking_Falling_backwards_P4_1_20260213_111210.csv,200,964,50.0,19.961249000000016
Walking_Falling_backwards_P4_2_20260213_111328.csv,200,857,50.0,17.897762000000014
Walking_Falling_backwards_P4_3_20260213_111410.csv,200,981,50.0,19.96206300000002
Walking_Xiaoye_1_20sek_20260202_094820.csv,200,370,50.1,19.96126199999993
Walking_Xiaoye_1_2min_20260129_110230.csv,1200,2707,50.1,120.58975799999999
Walking_Xiaoye_1_4min_20260129_111200.csv,2300,4050,50.1,184.7420390000019
Walking_Xiaoye_2_20sek_20260202_094909.csv,200,573,50.0,19.96280299999989
Walking_Xiaoye_2_2min_20260129_110830.csv,1800,5242,50.0,179.96276100000074
Walking_Xiaoye_2_4min_20260202_092021.csv,100,2,507.6,0.026675
Walking_Xiaoye_3_20sek_20260202_094945.csv,200,489,50.0,19.962471999999938
Walking_Xiaoye_3_2min_20260129_111759.csv,1000,1602,50.1,100.7879429999999
Walking_noturns_P1_120260213_101536.csv,500,2122,50.0,48.0001989999991
Walking_p1_1_35sek_20260204_152601.csv,400,1681,50.0,39.96484199999932
Walking_p1_2_35sek_20260204_152703.csv,400,1971,50.0,39.96091099999944
Walking_p1_3_35sek_20260204_152758.csv,300,1489,50.0,29.962019999999985
Walking_p2_1_35sek_20260204_154526.csv,400,1954,50.0,39.960724000000035
Walking_p2_2_35sek_20260204_154615.csv,400,1904,50.0,39.42146600000009
Walking_p2_3_35sek_20260204_154745.csv,400,1981,50.0,39.96400900000003
Walking_p4_1_35sek_20260204_143622.csv,400,1707,50.0,39.961499000000465
Walking_p4_2_35sek_20260204_151801.csv,300,1464,50.0,29.942289000000027
Walking_p4_3_35sek_20260204_151856.csv,400,1800,50.0,37.75555799999965
Walking_p4_4_35sek_20260205_105347.csv,500,1625,50.0,49.9627500000004
Walking_slow_Chrysi_4_20sek_20260202_103424.csv,100,479,50.0,9.963527000000008
