acc_max,acc_mean,acc_var,acc_std,gyro_max,gyro_mean,gyro_var,gyro_std,acc_skew,acc_kurtosis,acc_spec_energy,acc_spec_entropy,gyro_spec_energy,gyro_spec_entropy,file,label,activity,t_start,t_end,binary_class
0.15453543801080882,0.98353505278028,0.00017348194586749198,0.14384621919096013,-0.041180646462203215,0.0720309060085543,17.871407542239854,-0.08202405573958861,0.6459710426789493,-1.0401729749394293,3257.267489130205,-1.0834983719119577,607277.1704660025,0.9415503745029469,FallingForwards_p1_1_35sek_20260206_113359.parquet,1,Fall,0.591289,2.564783,Fall
-0.06306451593393934,0.9775556309469104,4.615553696551519e-05,-0.23000033692535998,-0.041180646462203215,-0.012871146847945856,20.77453969010578,-0.022197839350332167,0.8484694119375341,0.2952809115880677,3231.083583866071,-0.5572972719116284,328855.8321557057,-0.07294574478752316,FallingForwards_p1_1_35sek_20260206_113359.parquet,1,Fall,1.091226,3.064821,Fall
-0.24515657049248116,0.976669387731371,2.1448078608419397e-05,-0.3567705462752513,-0.4167307108178656,-0.40206751912015126,7.292663575283666,-0.35847236937063,-0.297281722957128,-0.874418916254152,3244.5366405451714,-0.28528580540021126,211857.2045090097,-0.0765770132813422,FallingForwards_p1_1_35sek_20260206_113359.parquet,1,Fall,1.589988,3.564779,Fall
0.17179489497535613,0.9776722430987249,6.967203435281646e-05,-0.13895243443290659,-0.3859572536800879,-0.4094970894797315,8.100394583753456,-0.33210762030052227,-1.443749069368853,11.621261813340151,3261.2547346790393,-0.14918985021427933,118340.01546918332,-0.4981211219356536,FallingForwards_p1_1_35sek_20260206_113359.parquet,1,Fall,2.089738,4.064776,Fall
0.17179489497535613,0.9779742354397147,7.574063634273484e-05,-0.11808772942579157,-0.3859572536800879,-0.4204935292973571,8.800026947121047,-0.3103162809214712,-1.6783726749522119,10.55729800566254,3261.1134118289556,0.19802949808711157,144499.06159716868,0.2576475163854951,FallingForwards_p1_1_35sek_20260206_113359.parquet,1,Fall,2.591526,4.564791,Fall
0.17179489497535613,0.97823877914392,7.455252865185242e-05,-0.12210489461646516,-0.3859572536800879,-0.43237977114283815,8.868199236477132,-0.30824002004427153,-1.7844542687916929,11.225430317049756,3239.1797972984286,-0.5660153381267012,282183.10980815126,1.305703397586426,FallingForwards_p1_1_35sek_20260206_113359.parquet,1,Fall,3.091218,5.064827,Fall
0.17179489497535613,0.9778277344081596,8.017521969958652e-05,-0.10336522423520764,-0.3859572536800879,-0.3455367986713806,6.21636977766226,-0.39598986377999384,-1.5831072129297952,9.215349813417879,3251.3844395654837,-0.10112593806772005,206702.39592796526,-0.15194306293179483,FallingForwards_p1_1_35sek_20260206_113359.parquet,1,Fall,3.589703,5.564791,Fall
-0.17993749188264516,0.9777617023802204,3.745177537659053e-05,-0.26951021550548077,-0.4231675162279081,-0.3438933014825904,3.8435110070967773,-0.49244614966503486,-1.7892217491080014,4.263016598346513,3261.3356006590543,-0.043853681740757995,154886.30253851757,-1.038098681525383,FallingForwards_p1_1_35sek_20260206_113359.parquet,1,Fall,4.089546,6.064819,Fall
-0.17993749188264516,0.9779925412938217,3.2030804606239914e-05,-0.2964876348987695,-0.5646252257084117,-0.42400225911152684,1.5482061164787873,-0.6221133152584605,-1.2805119166023173,1.8621828608055093,3251.5759457635186,-0.36311805219950566,195970.01165673757,-0.19907631663696615,FallingForwards_p1_1_35sek_20260206_113359.parquet,1,Fall,4.591483,6.564818,Fall
-0.1941872513454402,0.9781533936183212,3.469665147701352e-05,-0.28295757495144436,-0.5275650091075748,-0.3723995967900026,2.5466051792247937,-0.5584691473177162,-1.1306454734341047,1.3945225335731921,3249.1521698586007,-0.1868876711809517,190684.67331061745,-0.5058111666589149,FallingForwards_p1_1_35sek_20260206_113359.parquet,1,Fall,5.091125,7.064799,Fall
