acc_mean,acc_std,acc_max,acc_min,acc_range,acc_energy,gyro_mean,gyro_std,gyro_max,gyro_min,gyro_range,gyro_energy,label,activity,file
0.9659529965880399,0.015078311988892746,1.002496882788171,0.9357350052231668,0.06676187756500429,46.6644,13.092566562268264,4.777092747149926,19.63330333896973,4.588442001376938,15.04486133759279,9688.975099999998,0.0,Fallingbackwards,Fallingbackwards_p1_1_35sek_20260205_113403.csv
0.9750073111577108,0.031048730445158303,1.044270080008041,0.8820997676000147,0.16217031240802615,47.57920000000001,16.19043620257236,17.506189680015698,69.69790599436973,1.8563135511006754,67.84159244326906,28123.3784,0.0,Fallingbackwards,Fallingbackwards_p1_1_35sek_20260205_113403.csv
0.9903952331038005,0.09140224088078584,1.2758134659894447,0.8155366331440913,0.46027683284535337,49.4535,18.45341672001489,8.501826535892322,39.68872257959432,4.736781607800808,34.95194097179351,20568.2011,0.0,Fallingbackwards,Fallingbackwards_p1_1_35sek_20260205_113403.csv
0.9785016734501504,0.04206985269005122,1.0915585188161008,0.9168424073961675,0.17471611141993326,47.959999999999994,24.965408752529523,10.805505674268813,53.938199821647736,6.070831903454418,47.86736791819332,36884.770399999994,0.0,Fallingbackwards,Fallingbackwards_p1_1_35sek_20260205_113403.csv
0.9583356773438024,0.018809722030168067,0.9995999199679839,0.9222797840135064,0.07732013595447751,45.9377,8.656067270196331,3.464747158345187,16.74541429765176,3.0599836600870924,13.685430637564668,4334.5942000000005,0.0,Fallingbackwards,Fallingbackwards_p1_1_35sek_20260205_113403.csv
0.9637076999976775,0.01405052708672293,0.9979979959899719,0.9308061022576077,0.06719189373236412,46.446299999999994,9.776345970659296,2.5102592479283796,14.570590241990885,4.441452465128947,10.129137776861938,5087.615700000001,0.0,Fallingbackwards,Fallingbackwards_p1_1_35sek_20260205_113403.csv
0.9663916786990485,0.028804820692683645,1.0315037566582101,0.8677557259966654,0.16374803066154475,46.7363,6.960516552120488,3.692797088162791,18.5021431191092,1.8813027401245128,16.620840378984685,3090.6403,0.0,Fallingbackwards,Fallingbackwards_p1_1_35sek_20260205_113403.csv
0.961164734118043,0.014581015326458825,1.000949549178179,0.9334880824091971,0.0674614667689819,46.2023,11.019375879323057,4.9811398611687,22.511847991668745,1.2176616935750257,21.29418629809372,7287.1082000000015,0.0,Fallingbackwards,Fallingbackwards_p1_1_35sek_20260205_113403.csv
0.9601908923988125,0.016765189712434632,0.9922701245124737,0.931933474020544,0.0603366504919296,46.1121,8.937613883080347,3.024541131830094,16.14039032985262,2.898930837395056,13.241459492457565,4442.291699999999,0.0,Fallingbackwards,Fallingbackwards_p1_1_35sek_20260205_113403.csv
0.9651033837798357,0.014479352530604292,1.0036433629531958,0.9372833082905084,0.06636005466268735,46.58149999999999,11.375711199762083,4.046529213173787,17.933368339494955,5.430257820766892,12.503110518728063,7272.6858,0.0,Fallingbackwards,Fallingbackwards_p1_1_35sek_20260205_113403.csv
