file,raw_rows,expanded_points,fs_est_hz,duration_s
Falling_side_left_short_P3_2_TESTING20260305_175530.csv,1600,7530,50.0,159.9704920000002
Falling_side_left_short_P3_2_TESTING20260305_175848.csv,1000,4041,50.0,99.97259899999955
Falling_side_left_short_P3_2_TESTING20260305_181100.csv,200,984,50.0,19.92915100000002
